Product Category,Gender,Marital Status,City,State or Province,Country,Purchase Date,Annual Income,Count of State or Province,Sum of Units Sold,Sum of Customer ID,Sum of Transactionno
,,,,,,05/09/2012 Total,,1,5,1567,3092
,,,,,,16/12/2012,$10K - $30K,1,5,9728,4432
,,,,,,16/12/2012 Total,,1,5,9728,4432
,,,,,,02/02/2013,$150K +,1,2,1690,5534
,,,,,,02/02/2013 Total,,1,2,1690,5534
,,,,,USA Total,,,4,18,15555,15550
,,,,WA Total,,,,4,18,15555,15550
,,,Spokane Total,,,,,4,18,15555,15550
,,,Tacoma,WA,USA,04/11/2012,$10K - $30K,1,5,4029,3822
,,,,,,04/11/2012 Total,,1,5,4029,3822
,,,,,,15/07/2013,$30K - $50K,1,6,7514,10019
,,,,,,15/07/2013 Total,,1,6,7514,10019
,,,,,,23/09/2013,$50K - $70K,1,5,782,11882
,,,,,,23/09/2013 Total,,1,5,782,11882
,,,,,USA Total,,,3,16,12325,25723
,,,,WA Total,,,,3,16,12325,25723
,,,Tacoma Total,,,,,3,16,12325,25723
,,,Vancouver,BC,Canada,06/02/2013,$30K - $50K,1,3,10177,5674
,,,,,,06/02/2013 Total,,1,3,10177,5674
,,,,,,11/05/2013,$30K - $50K,1,3,8145,8219
,,,,,,11/05/2013 Total,,1,3,8145,8219
,,,,,,30/06/2013,$10K - $30K,1,5,8729,9577
,,,,,,30/06/2013 Total,,1,5,8729,9577
,,,,,,26/07/2013,$30K - $50K,1,5,10178,10303
,,,,,,26/07/2013 Total,,1,5,10178,10303
,,,,,,09/11/2013,$110K - $130K,1,7,2516,13176
,,,,,,09/11/2013 Total,,1,7,2516,13176
,,,,,Canada Total,,,5,23,39745,46949
,,,,BC Total,,,,5,23,39745,46949
,,,Vancouver Total,,,,,5,23,39745,46949
,,,Yakima,WA,USA,19/03/2012,$10K - $30K,1,3,1977,911
,,,,,,19/03/2012 Total,,1,3,1977,911
,,,,,,23/01/2013,$10K - $30K,1,4,3267,5263
,,,,,,23/01/2013 Total,,1,4,3267,5263
,,,,,USA Total,,,2,7,5244,6174
,,,,WA Total,,,,2,7,5244,6174
,,,Yakima Total,,,,,2,7,5244,6174
,,M Total,,,,,,58,252,268542,382447
,,S,Acapulco,Guerrero,Mexico,10/11/2013,$50K - $70K,1,3,6187,13209
,,,,,,10/11/2013 Total,,1,3,6187,13209
,,,,,,22/11/2013,$130K - $150K,1,5,4020,13537
,,,,,,22/11/2013 Total,,1,5,4020,13537
,,,,,Mexico Total,,,2,8,10207,26746
,,,,Guerrero Total,,,,2,8,10207,26746
,,,Acapulco Total,,,,,2,8,10207,26746
,,,Bellingham,WA,USA,13/03/2012,$110K - $130K,1,4,6319,836
,,,,,,13/03/2012 Total,,1,4,6319,836
,,,,,USA Total,,,1,4,6319,836
,,,,WA Total,,,,1,4,6319,836
,,,Bellingham Total,,,,,1,4,6319,836
,,,Beverly Hills,CA,USA,02/04/2012,$30K - $50K,1,3,7474,1125
,,,,,,02/04/2012 Total,,1,3,7474,1125
,,,,,,17/11/2013,$70K - $90K,1,3,2106,13410
,,,,,,17/11/2013 Total,,1,3,2106,13410
,,,,,USA Total,,,2,6,9580,14535
,,,,CA Total,,,,2,6,9580,14535
,,,Beverly Hills Total,,,,,2,6,9580,14535
,,,Bremerton,WA,USA,24/02/2012,$10K - $30K,1,4,1005,575
,,,,,,24/02/2012 Total,,1,4,1005,575
,,,,,,22/06/2012,$50K - $70K,1,4,905,2185
,,,,,,22/06/2012 Total,,1,4,905,2185
,,,,,,28/06/2012,$30K - $50K,1,3,5831,2264
,,,,,,28/06/2012 Total,,1,3,5831,2264
,,,,,,05/08/2012,$50K - $70K,1,3,905,2716
,,,,,,05/08/2012 Total,,1,3,905,2716
,,,,,,03/06/2013,$10K - $30K,1,6,1005,8852
,,,,,,03/06/2013 Total,,1,6,1005,8852
,,,,,,09/08/2013,$50K - $70K,1,5,3065,10675
,,,,,,09/08/2013 Total,,1,5,3065,10675
,,,,,,29/11/2013,$30K - $50K,1,4,3693,13704
,,,,,,29/11/2013 Total,,1,4,3693,13704
,,,,,USA Total,,,7,29,16409,40971
,,,,WA Total,,,,7,29,16409,40971
,,,Bremerton Total,,,,,7,29,16409,40971
,,,Camacho,Zacatecas,Mexico,25/11/2013,$70K - $90K,1,4,3366,13602
,,,,,,25/11/2013 Total,,1,4,3366,13602
,,,,,Mexico Total,,,1,4,3366,13602
,,,,Zacatecas Total,,,,1,4,3366,13602
,,,Camacho Total,,,,,1,4,3366,13602
,,,Hidalgo,Zacatecas,Mexico,29/04/2013,$30K - $50K,1,5,1770,7902
,,,,,,29/04/2013 Total,,1,5,1770,7902
,,,,,,18/05/2013,$10K - $30K,1,5,8915,8393
,,,,,,18/05/2013 Total,,1,5,8915,8393
,,,,,,10/08/2013,$30K - $50K,1,4,4419,10700
,,,,,,10/08/2013 Total,,1,4,4419,10700
,,,,,,01/11/2013,$30K - $50K,1,4,2528,12955
,,,,,,01/11/2013 Total,,1,4,2528,12955
,,,,,Mexico Total,,,4,18,17632,39950
,,,,Zacatecas Total,,,,4,18,17632,39950
,,,Hidalgo Total,,,,,4,18,17632,39950
,,,Los Angeles,CA,USA,03/03/2012,$10K - $30K,1,5,7439,679
,,,,,,03/03/2012 Total,,1,5,7439,679
,,,,,,29/04/2013,$30K - $50K,1,3,8151,7900
,,,,,,29/04/2013 Total,,1,3,8151,7900
,,,,,USA Total,,,2,8,15590,8579
,,,,CA Total,,,,2,8,15590,8579
,,,Los Angeles Total,,,,,2,8,15590,8579
,,,Merida,Yucatan,Mexico,13/05/2013,$10K - $30K,1,3,6440,8277
,,,,,,13/05/2013 Total,,1,3,6440,8277
,,,,,,14/07/2013,$10K - $30K,1,6,9443,9964
,,,,,,14/07/2013 Total,,1,6,9443,9964
,,,,,,01/09/2013,$30K - $50K,1,3,9610,11274
,,,,,,01/09/2013 Total,,1,3,9610,11274
,,,,,Mexico Total,,,3,12,25493,29515
,,,,Yucatan Total,,,,3,12,25493,29515
,,,Merida Total,,,,,3,12,25493,29515
,,,Mexico City,DF,Mexico,13/08/2013,$50K - $70K,1,3,8486,10788
,,,,,,13/08/2013 Total,,1,3,8486,10788
,,,,,,21/10/2013,$130K - $150K,1,3,9854,12651
,,,,,,21/10/2013 Total,,1,3,9854,12651
,,,,,Mexico Total,,,2,6,18340,23439
,,,,DF Total,,,,2,6,18340,23439
,,,Mexico City Total,,,,,2,6,18340,23439
,,,Orizaba,Veracruz,Mexico,21/12/2012,$130K - $150K,1,3,7376,4526
,,,,,,21/12/2012 Total,,1,3,7376,4526
,,,,,,29/05/2013,$50K - $70K,1,3,4319,8722
,,,,,,29/05/2013 Total,,1,3,4319,8722
,,,,,,29/08/2013,$30K - $50K,1,4,3957,11194
,,,,,,29/08/2013 Total,,1,4,3957,11194
,,,,,,12/10/2013,$50K - $70K,1,2,1183,12400
,,,,,,12/10/2013 Total,,1,2,1183,12400
,,,,,Mexico Total,,,4,12,16835,36842
,,,,Veracruz Total,,,,4,12,16835,36842
,,,Orizaba Total,,,,,4,12,16835,36842
,,,Portland,OR,USA,15/10/2012,$30K - $50K,1,5,9080,3587
,,,,,,15/10/2012 Total,,1,5,9080,3587
,,,,,,06/01/2013,$70K - $90K,1,4,1241,4851
,,,,,,06/01/2013 Total,,1,4,1241,4851
,,,,,,28/07/2013,$70K - $90K,1,6,3359,10363
,,,,,,28/07/2013 Total,,1,6,3359,10363
,,,,,,02/12/2013,$10K - $30K,1,4,3319,13779
,,,,,,02/12/2013 Total,,1,4,3319,13779
,,,,,,04/12/2013,$10K - $30K,1,5,3319,13819
,,,,,,04/12/2013 Total,,1,5,3319,13819
,,,,,USA Total,,,5,24,20318,46399
,,,,OR Total,,,,5,24,20318,46399
,,,Portland Total,,,,,5,24,20318,46399
,,,Salem,OR,USA,05/01/2012,$50K - $70K,1,3,9125,59
,,,,,,05/01/2012 Total,,1,3,9125,59
,,,,,,05/03/2012,$30K - $50K,1,3,8843,713
,,,,,,05/03/2012 Total,,1,3,8843,713
,,,,,,24/05/2012,$70K - $90K,1,6,7780,1838
,,,,,,24/05/2012 Total,,1,6,7780,1838
,,,,,,06/08/2012,$10K - $30K,1,3,3463,2731
,,,,,,06/08/2012 Total,,1,3,3463,2731
,,,,,,20/08/2012,$110K - $130K,1,5,5610,2900
,,,,,,20/08/2012 Total,,1,5,5610,2900
,,,,,,20/10/2012,$90K - $110K,1,2,1153,3639
,,,,,,20/10/2012 Total,,1,2,1153,3639
,,,,,,18/12/2012,$70K - $90K,1,5,9236,4475
,,,,,,18/12/2012 Total,,1,5,9236,4475
,,,,,,01/02/2013,$10K - $30K,1,4,9863,5510
,,,,,,01/02/2013 Total,,1,4,9863,5510
,,,,,,22/02/2013,$30K - $50K,1,5,5909,6105
,,,,,,22/02/2013 Total,,1,5,5909,6105
,,,,,,27/02/2013,$130K - $150K,1,5,4779,6272
,,,,,,27/02/2013 Total,,1,5,4779,6272
,,,,,,19/03/2013,$130K - $150K,1,4,1253,6787
,,,,,,19/03/2013 Total,,1,4,1253,6787
,,,,,,16/05/2013,$70K - $90K,1,4,625,8340
,,,,,,16/05/2013 Total,,1,4,625,8340
,,,,,,30/05/2013,$130K - $150K,1,5,5869,8754
,,,,,,30/05/2013 Total,,1,5,5869,8754
,,,,,,28/06/2013,$110K - $130K,1,4,7444,9528
,,,,,,28/06/2013 Total,,1,4,7444,9528
,,,,,,11/07/2013,$30K - $50K,1,3,2147,9885
,,,,,,11/07/2013 Total,,1,3,2147,9885
,,,,,,16/11/2013,$30K - $50K,1,5,9747,13401
,,,,,,16/11/2013 Total,,1,5,9747,13401
,,,,,USA Total,,,16,66,92846,90937
,,,,OR Total,,,,16,66,92846,90937
,,,Salem Total,,,,,16,66,92846,90937
,,,San Andres,DF,Mexico,23/01/2013,$30K - $50K,1,7,732,5272
,,,,,,23/01/2013 Total,,1,7,732,5272
,,,,,,17/04/2013,$90K - $110K,1,3,9806,7550
,,,,,,17/04/2013 Total,,1,3,9806,7550
,,,,,,29/05/2013,$30K - $50K,1,4,568,8716
,,,,,,29/05/2013 Total,,1,4,568,8716
,,,,,,30/08/2013,$90K - $110K,1,3,6222,11220
,,,,,,30/08/2013 Total,,1,3,6222,11220
,,,,,,14/09/2013,$10K - $30K,1,3,8438,11617
,,,,,,14/09/2013 Total,,1,3,8438,11617
,,,,,,28/11/2013,$30K - $50K,1,5,7934,13668
,,,,,,28/11/2013 Total,,1,5,7934,13668
,,,,,,03/12/2013,$70K - $90K,1,5,3330,13800
,,,,,,03/12/2013 Total,,1,5,3330,13800
,,,,,Mexico Total,,,7,30,37030,71843
,,,,DF Total,,,,7,30,37030,71843
,,,San Andres Total,,,,,7,30,37030,71843
,,,San Diego,CA,USA,05/07/2012,$10K - $30K,1,6,9099,2343
,,,,,,05/07/2012 Total,,1,6,9099,2343
,,,,,,15/09/2012,$30K - $50K,1,4,834,3214
,,,,,,15/09/2012 Total,,1,4,834,3214
,,,,,,13/10/2012,$150K +,1,5,4370,3560
,,,,,,13/10/2012 Total,,1,5,4370,3560
,,,,,,09/11/2012,$110K - $130K,1,4,6766,3897
,,,,,,09/11/2012 Total,,1,4,6766,3897
,,,,,,27/11/2012,$10K - $30K,1,4,7664,4147
,,,,,,27/11/2012 Total,,1,4,7664,4147
,,,,,,01/02/2013,$130K - $150K,1,5,2735,5496
,,,,,,01/02/2013 Total,,1,5,2735,5496
,,,,,,29/09/2013,$30K - $50K,1,4,3041,12039
,,,,,,29/09/2013 Total,,1,4,3041,12039
,,,,,,16/10/2013,$50K - $70K,1,5,547,12511
,,,,,,16/10/2013 Total,,1,5,547,12511
,,,,,USA Total,,,8,37,35056,47207
,,,,CA Total,,,,8,37,35056,47207
,,,San Diego Total,,,,,8,37,35056,47207
,,,Seattle,WA,USA,10/03/2012,$10K - $30K,1,6,5814,781
,,,,,,10/03/2012 Total,,1,6,5814,781
,,,,,,09/06/2013,$50K - $70K,1,3,1131,9029
,,,,,,09/06/2013 Total,,1,3,1131,9029
,,,,,,31/08/2013,$70K - $90K,1,4,4454,11241
,,,,,,31/08/2013 Total,,1,4,4454,11241
,,,,,USA Total,,,3,13,11399,21051
,,,,WA Total,,,,3,13,11399,21051
,,,Seattle Total,,,,,3,13,11399,21051
,,,Spokane,WA,USA,18/03/2013,$70K - $90K,1,5,8351,6757
,,,,,,18/03/2013 Total,,1,5,8351,6757
,,,,,,30/09/2013,$30K - $50K,1,3,4397,12075
,,,,,,30/09/2013 Total,,1,3,4397,12075
,,,,,USA Total,,,2,8,12748,18832
,,,,WA Total,,,,2,8,12748,18832
,,,Spokane Total,,,,,2,8,12748,18832
,,,Tacoma,WA,USA,25/03/2012,$30K - $50K,1,5,3000,1002
,,,,,,25/03/2012 Total,,1,5,3000,1002
,,,,,,04/06/2012,$30K - $50K,1,4,4522,1989
,,,,,,04/06/2012 Total,,1,4,4522,1989
,,,,,,27/07/2013,$130K - $150K,1,4,1328,10317
,,,,,,27/07/2013 Total,,1,4,1328,10317
,,,,,USA Total,,,3,13,8850,13308
,,,,WA Total,,,,3,13,8850,13308
,,,Tacoma Total,,,,,3,13,8850,13308
,,,Vancouver,BC,Canada,18/09/2013,$30K - $50K,1,3,1262,11709
,,,,,,18/09/2013 Total,,1,3,1262,11709
,,,,,,29/09/2013,$50K - $70K,1,5,5687,12050
,,,,,,29/09/2013 Total,,1,5,5687,12050
,,,,,Canada Total,,,2,8,6949,23759
,,,,BC Total,,,,2,8,6949,23759
,,,Vancouver Total,,,,,2,8,6949,23759
,,,Walla Walla,WA,USA,09/05/2012,$130K - $150K,1,3,1696,1660
,,,,,,09/05/2012 Total,,1,3,1696,1660
,,,,,USA Total,,,1,3,1696,1660
,,,,WA Total,,,,1,3,1696,1660
,,,Walla Walla Total,,,,,1,3,1696,1660
,,,Yakima,WA,USA,01/07/2012,$50K - $70K,1,3,7190,2293
,,,,,,01/07/2012 Total,,1,3,7190,2293
,,,,,,18/11/2013,$10K - $30K,1,4,7696,13447
,,,,,,18/11/2013 Total,,1,4,7696,13447
,,,,,USA Total,,,2,7,14886,15740
,,,,WA Total,,,,2,7,14886,15740
,,,Yakima Total,,,,,2,7,14886,15740
,,S Total,,,,,,77,316,381549,585751
,M Total,,,,,,,135,568,650091,968198
Specialty Total,,,,,,,,289,1202,1430245,2099341
Starchy Foods,F,M,Acapulco,Guerrero,Mexico,11/10/2013,$10K - $30K,1,5,680,12351
,,,,,,11/10/2013 Total,,1,5,680,12351
,,,,,Mexico Total,,,1,5,680,12351
,,,,Guerrero Total,,,,1,5,680,12351
,,,Acapulco Total,,,,,1,5,680,12351
,,,Beverly Hills,CA,USA,11/02/2012,$70K - $90K,1,6,8984,427
,,,,,,11/02/2012 Total,,1,6,8984,427
,,,,,,31/10/2012,$50K - $70K,1,4,2404,3771
,,,,,,31/10/2012 Total,,1,4,2404,3771
,,,,,,06/12/2012,$10K - $30K,1,4,7584,4277
,,,,,,06/12/2012 Total,,1,4,7584,4277
,,,,,,13/03/2013,$10K - $30K,1,4,937,6640
,,,,,,13/03/2013 Total,,1,4,937,6640
,,,,,,02/11/2013,$110K - $130K,1,4,5054,12989
,,,,,,02/11/2013 Total,,1,4,5054,12989
,,,,,USA Total,,,5,22,24963,28104
,,,,CA Total,,,,5,22,24963,28104
,,,Beverly Hills Total,,,,,5,22,24963,28104
,,,Bremerton,WA,USA,17/01/2012,$50K - $70K,1,5,8731,140
,,,,,,17/01/2012 Total,,1,5,8731,140
,,,,,,24/10/2013,$30K - $50K,1,5,2756,12738
,,,,,,24/10/2013 Total,,1,5,2756,12738
,,,,,USA Total,,,2,10,11487,12878
,,,,WA Total,,,,2,10,11487,12878
,,,Bremerton Total,,,,,2,10,11487,12878
,,,Camacho,Zacatecas,Mexico,24/02/2013,$30K - $50K,1,5,4355,6182
,,,,,,24/02/2013 Total,,1,5,4355,6182
,,,,,,09/07/2013,$50K - $70K,1,6,1125,9821
,,,,,,09/07/2013 Total,,1,6,1125,9821
,,,,,,10/12/2013,$110K - $130K,1,5,2175,13897
,,,,,,10/12/2013 Total,,1,5,2175,13897
,,,,,Mexico Total,,,3,16,7655,29900
,,,,Zacatecas Total,,,,3,16,7655,29900
,,,Camacho Total,,,,,3,16,7655,29900
,,,Hidalgo,Zacatecas,Mexico,15/01/2013,$90K - $110K,1,6,4026,5089
,,,,,,15/01/2013 Total,,1,6,4026,5089
,,,,,,25/02/2013,$10K - $30K,1,3,4256,6204
,,,,,,25/02/2013 Total,,1,3,4256,6204
,,,,,,21/04/2013,$130K - $150K,1,4,7069,7653
,,,,,,21/04/2013 Total,,1,4,7069,7653
,,,,,,19/08/2013,$10K - $30K,1,4,4256,10930
,,,,,,19/08/2013 Total,,1,4,4256,10930
,,,,,,25/09/2013,$30K - $50K,1,4,1495,11928
,,,,,,25/09/2013 Total,,1,4,1495,11928
,,,,,,21/11/2013,$30K - $50K,1,6,7134,13508
,,,,,,21/11/2013 Total,,1,6,7134,13508
,,,,,Mexico Total,,,6,27,28236,55312
,,,,Zacatecas Total,,,,6,27,28236,55312
,,,Hidalgo Total,,,,,6,27,28236,55312
,,,Los Angeles,CA,USA,01/01/2013,$30K - $50K,1,2,4422,4728
,,,,,,01/01/2013 Total,,1,2,4422,4728
,,,,,,11/07/2013,$50K - $70K,1,4,3503,9888
,,,,,,11/07/2013 Total,,1,4,3503,9888
,,,,,,06/12/2013,$30K - $50K,1,6,2001,13834
,,,,,,06/12/2013 Total,,1,6,2001,13834
,,,,,USA Total,,,3,12,9926,28450
,,,,CA Total,,,,3,12,9926,28450
,,,Los Angeles Total,,,,,3,12,9926,28450
,,,Merida,Yucatan,Mexico,15/01/2013,$30K - $50K,1,4,9249,5078
,,,,,,15/01/2013 Total,,1,4,9249,5078
,,,,,,21/02/2013,$30K - $50K,1,4,10001,6098
,,,,,,21/02/2013 Total,,1,4,10001,6098
,,,,,,06/05/2013,$10K - $30K,1,2,7356,8074
,,,,,,06/05/2013 Total,,1,2,7356,8074
,,,,,,16/07/2013,$70K - $90K,1,4,6075,10045
,,,,,,16/07/2013 Total,,1,4,6075,10045
,,,,,,12/08/2013,$70K - $90K,1,5,9844,10756
,,,,,,12/08/2013 Total,,1,5,9844,10756
,,,,,,08/09/2013,$30K - $50K,1,4,10001,11437
,,,,,,08/09/2013 Total,,1,4,10001,11437
,,,,,,20/11/2013,$10K - $30K,1,4,2139,13488
,,,,,,20/11/2013 Total,,1,4,2139,13488
,,,,,Mexico Total,,,7,27,54665,64976
,,,,Yucatan Total,,,,7,27,54665,64976
,,,Merida Total,,,,,7,27,54665,64976
,,,Orizaba,Veracruz,Mexico,08/07/2013,$10K - $30K,1,3,3234,9814
,,,,,,08/07/2013 Total,,1,3,3234,9814
,,,,,,16/07/2013,$50K - $70K,1,6,1265,10021
,,,,,,16/07/2013 Total,,1,6,1265,10021
,,,,,,21/11/2013,$70K - $90K,1,5,1402,13497
,,,,,,21/11/2013 Total,,1,5,1402,13497
,,,,,Mexico Total,,,3,14,5901,33332
,,,,Veracruz Total,,,,3,14,5901,33332
,,,Orizaba Total,,,,,3,14,5901,33332
,,,Portland,OR,USA,24/02/2012,$10K - $30K,1,5,8737,577
,,,,,,24/02/2012 Total,,1,5,8737,577
,,,,,,27/12/2012,$70K - $90K,1,5,6947,4628
,,,,,,27/12/2012 Total,,1,5,6947,4628
,,,,,,11/02/2013,$70K - $90K,1,5,7852,5808
,,,,,,11/02/2013 Total,,1,5,7852,5808
,,,,,,31/08/2013,$30K - $50K,1,5,7884,11236
,,,,,,31/08/2013 Total,,1,5,7884,11236
,,,,,,25/09/2013,$30K - $50K,1,4,8850,11938
,,,,,,25/09/2013 Total,,1,4,8850,11938
,,,,,,08/11/2013,$130K - $150K,1,3,5702,13155
,,,,,,08/11/2013 Total,,1,3,5702,13155
,,,,,USA Total,,,6,27,45972,47342
,,,,OR Total,,,,6,27,45972,47342
,,,Portland Total,,,,,6,27,45972,47342
,,,Salem,OR,USA,27/01/2012,$70K - $90K,1,5,3153,239
,,,,,,27/01/2012 Total,,1,5,3153,239
,,,,,,05/04/2012,$110K - $130K,1,3,9788,1170
,,,,,,05/04/2012 Total,,1,3,9788,1170
,,,,,,24/07/2012,$30K - $50K,1,4,10145,2574
,,,,,,24/07/2012 Total,,1,4,10145,2574
,,,,,,02/08/2012,$10K - $30K,1,4,5088,2676
,,,,,,02/08/2012 Total,,1,4,5088,2676
,,,,,,02/12/2012,$70K - $90K,1,5,9668,4217
,,,,,,02/12/2012 Total,,1,5,9668,4217
,,,,,,01/10/2013,$30K - $50K,1,5,3748,12110
,,,,,,01/10/2013 Total,,1,5,3748,12110
,,,,,,13/11/2013,$30K - $50K,1,2,8140,13292
,,,,,,13/11/2013 Total,,1,2,8140,13292
,,,,,USA Total,,,7,28,49730,36278
,,,,OR Total,,,,7,28,49730,36278
,,,Salem Total,,,,,7,28,49730,36278
,,,San Andres,DF,Mexico,19/02/2013,$30K - $50K,1,4,8813,6028
,,,,,,19/02/2013 Total,,1,4,8813,6028
,,,,,,20/05/2013,$30K - $50K,1,5,4796,8469
,,,,,,20/05/2013 Total,,1,5,4796,8469
,,,,,,22/08/2013,$130K - $150K,1,6,8989,11003
,,,,,,22/08/2013 Total,,1,6,8989,11003
,,,,,,24/08/2013,$10K - $30K,1,4,8867,11065
,,,,,,24/08/2013 Total,,1,4,8867,11065
,,,,,Mexico Total,,,4,19,31465,36565
,,,,DF Total,,,,4,19,31465,36565
,,,San Andres Total,,,,,4,19,31465,36565
,,,San Diego,CA,USA,11/01/2012,$110K - $130K,1,4,7493,87
,,,,,,11/01/2012 Total,,1,4,7493,87
,,,,,,06/04/2012,$30K - $50K,1,6,7266,1179
,,,,,,06/04/2012 Total,,1,6,7266,1179
,,,,,,31/03/2013,$110K - $130K,1,4,6262,7120
,,,,,,31/03/2013 Total,,1,4,6262,7120
,,,,,,20/05/2013,$110K - $130K,1,4,1755,8464
,,,,,,20/05/2013 Total,,1,4,1755,8464
,,,,,,02/11/2013,$70K - $90K,1,5,7914,12994
,,,,,,02/11/2013 Total,,1,5,7914,12994
,,,,,USA Total,,,5,23,30690,29844
,,,,CA Total,,,,5,23,30690,29844
,,,San Diego Total,,,,,5,23,30690,29844
,,,Seattle,WA,USA,01/04/2012,$30K - $50K,1,3,7768,1107
,,,,,,01/04/2012 Total,,1,3,7768,1107
,,,,,,04/11/2012,$30K - $50K,1,2,968,3833
,,,,,,04/11/2012 Total,,1,2,968,3833
,,,,,,05/03/2013,$10K - $30K,1,5,3250,6442
,,,,,,05/03/2013 Total,,1,5,3250,6442
,,,,,,20/06/2013,$110K - $130K,1,3,9415,9320
,,,,,,20/06/2013 Total,,1,3,9415,9320
,,,,,,02/08/2013,$50K - $70K,1,4,9323,10473
,,,,,,02/08/2013 Total,,1,4,9323,10473
,,,,,USA Total,,,5,17,30724,31175
,,,,WA Total,,,,5,17,30724,31175
,,,Seattle Total,,,,,5,17,30724,31175
,,,Spokane,WA,USA,03/11/2012,$130K - $150K,1,3,1491,3816
,,,,,,03/11/2012 Total,,1,3,1491,3816
,,,,,,06/03/2013,$130K - $150K,1,6,1491,6449
,,,,,,06/03/2013 Total,,1,6,1491,6449
,,,,,,28/08/2013,$150K +,1,7,4727,11162
,,,,,,28/08/2013 Total,,1,7,4727,11162
,,,,,USA Total,,,3,16,7709,21427
,,,,WA Total,,,,3,16,7709,21427
,,,Spokane Total,,,,,3,16,7709,21427
,,,Tacoma,WA,USA,05/02/2012,$10K - $30K,1,6,8551,356
,,,,,,05/02/2012 Total,,1,6,8551,356
,,,,,,25/06/2012,$30K - $50K,1,2,1497,2232
,,,,,,25/06/2012 Total,,1,2,1497,2232
,,,,,,07/09/2012,$30K - $50K,1,3,1497,3117
,,,,,,07/09/2012 Total,,1,3,1497,3117
,,,,,,15/12/2012,$50K - $70K,1,5,1024,4412
,,,,,,15/12/2012 Total,,1,5,1024,4412
,,,,,,26/12/2012,$70K - $90K,1,2,6313,4605
,,,,,,26/12/2012 Total,,1,2,6313,4605
,,,,,,11/08/2013,$50K - $70K,1,5,8181,10735
,,,,,,11/08/2013 Total,,1,5,8181,10735
,,,,,USA Total,,,6,23,27063,25457
,,,,WA Total,,,,6,23,27063,25457
,,,Tacoma Total,,,,,6,23,27063,25457
,,,Vancouver,BC,Canada,12/05/2013,$70K - $90K,1,5,8621,8238
,,,,,,12/05/2013 Total,,1,5,8621,8238
,,,,,Canada Total,,,1,5,8621,8238
,,,,BC Total,,,,1,5,8621,8238
,,,Vancouver Total,,,,,1,5,8621,8238
,,,Walla Walla,WA,USA,29/07/2012,$110K - $130K,1,4,612,2633
,,,,,,29/07/2012 Total,,1,4,612,2633
,,,,,,09/09/2013,$10K - $30K,1,2,1896,11465
,,,,,,09/09/2013 Total,,1,2,1896,11465
,,,,,USA Total,,,2,6,2508,14098
,,,,WA Total,,,,2,6,2508,14098
,,,Walla Walla Total,,,,,2,6,2508,14098
,,,Yakima,WA,USA,21/05/2012,$50K - $70K,1,3,5019,1800
,,,,,,21/05/2012 Total,,1,3,5019,1800
,,,,,,03/11/2012,$70K - $90K,1,5,9169,3810
,,,,,,03/11/2012 Total,,1,5,9169,3810
,,,,,USA Total,,,2,8,14188,5610
,,,,WA Total,,,,2,8,14188,5610
,,,Yakima Total,,,,,2,8,14188,5610
,,M Total,,,,,,71,305,392183,521337
,,S,Acapulco,Guerrero,Mexico,16/03/2013,$30K - $50K,1,2,4878,6723
,,,,,,16/03/2013 Total,,1,2,4878,6723
,,,,,,06/06/2013,$30K - $50K,1,4,5578,8920
,,,,,,06/06/2013 Total,,1,4,5578,8920
,,,,,Mexico Total,,,2,6,10456,15643
,,,,Guerrero Total,,,,2,6,10456,15643
,,,Acapulco Total,,,,,2,6,10456,15643
,,,Beverly Hills,CA,USA,27/04/2012,$130K - $150K,1,3,4568,1484
,,,,,,27/04/2012 Total,,1,3,4568,1484
,,,,,,06/11/2012,$10K - $30K,1,4,6717,3868
,,,,,,06/11/2012 Total,,1,4,6717,3868
,,,,,,26/11/2012,$30K - $50K,1,4,9217,4125
,,,,,,26/11/2012 Total,,1,4,9217,4125
,,,,,,27/01/2013,$50K - $70K,1,5,751,5372
,,,,,,27/01/2013 Total,,1,5,751,5372
,,,,,,14/03/2013,$30K - $50K,1,6,405,6650
,,,,,,14/03/2013 Total,,1,6,405,6650
,,,,,,24/08/2013,$130K - $150K,1,5,4568,11047
,,,,,,24/08/2013 Total,,1,5,4568,11047
,,,,,USA Total,,,6,27,26226,32546
,,,,CA Total,,,,6,27,26226,32546
,,,Beverly Hills Total,,,,,6,27,26226,32546
,,,Bremerton,WA,USA,02/02/2012,$10K - $30K,1,4,7413,319
,,,,,,02/02/2012 Total,,1,4,7413,319
,,,,,,28/10/2012,$10K - $30K,1,4,2368,3732
,,,,,,28/10/2012 Total,,1,4,2368,3732
,,,,,,08/02/2013,$30K - $50K,1,2,99,5702
,,,,,,08/02/2013 Total,,1,2,99,5702
,,,,,,26/02/2013,$10K - $30K,1,4,355,6235
,,,,,,26/02/2013 Total,,1,4,355,6235
,,,,,,02/04/2013,$30K - $50K,1,6,181,7159
,,,,,,02/04/2013 Total,,1,6,181,7159
,,,,,,21/04/2013,$10K - $30K,1,4,878,7654
,,,,,,21/04/2013 Total,,1,4,878,7654
,,,,,,06/09/2013,$50K - $70K,1,4,8647,11389
,,,,,,06/09/2013 Total,,1,4,8647,11389
,,,,,,30/09/2013,$30K - $50K,1,4,1070,12080
,,,,,,30/09/2013 Total,,1,4,1070,12080
,,,,,USA Total,,,8,32,21011,54270
,,,,WA Total,,,,8,32,21011,54270
,,,Bremerton Total,,,,,8,32,21011,54270
